aaRS,Classification,Tissue,TPM
AsnRS,Cytosolic,Leaf,49
AsnRS,Organellar,Leaf,22
AspRS,Cytosolic,Leaf,104
AspRS,Organellar,Leaf,15
CysRS,Cytosolic,Leaf,37
CysRS,Organellar,Leaf,12
GluRS,Cytosolic,Leaf,36
GluRS,Organellar,Leaf,24
GlyRS,Cytosolic,Leaf,51
GlyRS,Organellar,Leaf,19
HisRS,Cytosolic,Leaf,23
HisRS,Organellar,Leaf,13
IleRS,Cytosolic,Leaf,37
IleRS,Organellar,Leaf,18
LeuRS,Cytosolic,Leaf,54
LeuRS,Organellar,Leaf,23
LysRS,Cytosolic,Leaf,57
LysRS,Organellar,Leaf,29
MetRS,Cytosolic,Leaf,39
MetRS,Organellar,Leaf,22
PheRS,Cytosolic,Leaf,38
PheRS,Organellar,Leaf,45
ProRS,Cytosolic,Leaf,59
ProRS,Organellar,Leaf,31
SerRS,Cytosolic,Leaf,43
SerRS,Organellar,Leaf,14
ThrRS,Cytosolic,Leaf,41.4
ThrRS,Organellar,Leaf,60
TrpRS,Cytosolic,Leaf,24
TrpRS,Organellar,Leaf,13
TyrRS,Cytosolic,Leaf,30
TyrRS,Organellar,Leaf,12
ValRS,Cytosolic,Leaf,48
ValRS,Organellar,Leaf,18
AsnRS,Cytosolic,FlowerBud,157
AsnRS,Organellar,FlowerBud,32
AspRS,Cytosolic,FlowerBud,97
AspRS,Organellar,FlowerBud,18
CysRS,Cytosolic,FlowerBud,101
CysRS,Organellar,FlowerBud,23
GluRS,Cytosolic,FlowerBud,46
GluRS,Organellar,FlowerBud,61
GlyRS,Cytosolic,FlowerBud,45
GlyRS,Organellar,FlowerBud,29
HisRS,Cytosolic,FlowerBud,74
HisRS,Organellar,FlowerBud,35
IleRS,Cytosolic,FlowerBud,65
IleRS,Organellar,FlowerBud,31
LeuRS,Cytosolic,FlowerBud,67
LeuRS,Organellar,FlowerBud,56
LysRS,Cytosolic,FlowerBud,106
LysRS,Organellar,FlowerBud,47
MetRS,Cytosolic,FlowerBud,89
MetRS,Organellar,FlowerBud,48
PheRS,Cytosolic,FlowerBud,62
PheRS,Organellar,FlowerBud,106
ProRS,Cytosolic,FlowerBud,164
ProRS,Organellar,FlowerBud,34
SerRS,Cytosolic,FlowerBud,102
SerRS,Organellar,FlowerBud,15
ThrRS,Cytosolic,FlowerBud,70
ThrRS,Organellar,FlowerBud,60
TrpRS,Cytosolic,FlowerBud,46
TrpRS,Organellar,FlowerBud,24
TyrRS,Cytosolic,FlowerBud,69
TyrRS,Organellar,FlowerBud,24
ValRS,Cytosolic,FlowerBud,97
ValRS,Organellar,FlowerBud,26
AsnRS,Cytosolic,Seedling,88
AsnRS,Organellar,Seedling,49
AspRS,Cytosolic,Seedling,154
AspRS,Organellar,Seedling,29
CysRS,Cytosolic,Seedling,43
CysRS,Organellar,Seedling,18
GluRS,Cytosolic,Seedling,43
GluRS,Organellar,Seedling,41
GlyRS,Cytosolic,Seedling,89
GlyRS,Organellar,Seedling,42
HisRS,Cytosolic,Seedling,28
HisRS,Organellar,Seedling,42
IleRS,Cytosolic,Seedling,52
IleRS,Organellar,Seedling,47
LeuRS,Cytosolic,Seedling,70
LeuRS,Organellar,Seedling,31
LysRS,Cytosolic,Seedling,84
LysRS,Organellar,Seedling,54
MetRS,Cytosolic,Seedling,49
MetRS,Organellar,Seedling,39
PheRS,Cytosolic,Seedling,39
PheRS,Organellar,Seedling,79
ProRS,Cytosolic,Seedling,89
ProRS,Organellar,Seedling,54
SerRS,Cytosolic,Seedling,68
SerRS,Organellar,Seedling,18
ThrRS,Cytosolic,Seedling,58.8
ThrRS,Organellar,Seedling,81
TrpRS,Cytosolic,Seedling,45
TrpRS,Organellar,Seedling,35
TyrRS,Cytosolic,Seedling,36
TyrRS,Organellar,Seedling,19
ValRS,Cytosolic,Seedling,57
ValRS,Organellar,Seedling,34
